,,,,mae,mae,rmse,rmse,r2,r2,spearman,spearman
,,,,mean,std,mean,std,mean,std,mean,std
analysis,domain,model,group,,,,,,,,
area,osm,residual_no_coordinates,danang,0.09846803329285704,0.041758485839983504,0.26537845868304777,0.07021674024052683,0.6413495772668417,0.20326251131805928,0.8858183879003289,0.03288608935357433
area,osm,residual_no_coordinates,hcmus,0.08892931029500653,0.015758805640313282,0.2380518041908451,0.01998482112778568,0.7089724739933909,0.05104694189716196,0.9296695567292567,0.023834596535667957
area,osm,residual_no_coordinates,viasm,0.059427605031443065,0.013749190906948469,0.18605902336478986,0.03532469321570531,0.8348024524120273,0.05779262199165757,0.9048857600462028,0.03423659526993619
area,osm,residual_no_fiedler,cantho,0.03454969147805391,0.010561131769189562,0.09540813277376152,0.03345068043972231,0.9518197460694363,0.03487766200033564,0.9438833419927126,0.017965264010977974
area,osm,residual_no_fiedler,dalat,0.1813487619940355,0.014202021049006761,0.37819636050223393,0.013588552114848223,-0.6551898261520996,0.1966222890411008,0.6491813306299961,0.026023796892280685
area,osm,residual_no_fiedler,danang,0.07651582837971382,0.013767505073204216,0.2252204633345667,0.024440722599926155,0.7565904800567063,0.04548997712666396,0.8937926233841754,0.027096253643488274
area,osm,residual_no_fiedler,hcmus,0.08367984296147171,0.01725440490506167,0.2284311761897459,0.025413518084678233,0.7303212698645193,0.06796666799700317,0.9196195318493456,0.03693661427506074
area,osm,residual_no_fiedler,viasm,0.05912379977896172,0.009892313472589767,0.181318161809857,0.025303324328582007,0.8448217230093809,0.04457251048458658,0.9118989116091502,0.027551767583841882
area,osm,spectral,cantho,0.41331396778899787,0.01459865084771422,0.611686230558238,0.011129483524792186,-0.8075996441108598,0.05105196384207005,0.4477919540908416,0.047488636513688794
area,osm,spectral,dalat,0.8235730809881068,0.008968006587351494,0.873543283003665,0.007361233747298468,-7.808875167607947,0.716158400251824,0.17598101810807015,0.058877018179995945
area,osm,spectral,danang,0.5955319354286701,0.03615048093042908,0.7494351637553204,0.02449420954489847,-1.6888954250884365,0.2645979552248632,0.29827768764126866,0.06724084879879867
area,osm,spectral,hcmus,0.6312376073660724,0.023081823879099492,0.7684972927112074,0.01499271766247,-2.015009992856722,0.2198522240717195,0.2903045441608841,0.09823002394673022
area,osm,spectral,viasm,0.4160492933235558,0.028959323542782415,0.6216910869727343,0.024038754800646316,-0.7906017127932625,0.09162306036243688,0.3764457824098737,0.05952769985542396
area,osm,summary_mlp,cantho,0.1843928190963028,0.09940658200674632,0.26532910339160354,0.14102357489589493,0.5850985722955999,0.39364281874061485,0.8470840910818411,0.020383493179244625
area,osm,summary_mlp,dalat,0.19100171932885684,0.03460416438085516,0.36203082405173936,0.03347812044375219,-0.5288306332789505,0.3436688007108332,0.5835303930499038,0.010461769113509975
area,osm,summary_mlp,danang,0.3987887172288993,0.12997803406383765,0.5049651370719399,0.14645636042255605,-0.3060934810370467,0.6875603190060797,0.8183982456300802,0.016114893972436505
area,osm,summary_mlp,hcmus,0.4516203871638769,0.11186470852470479,0.549189244972081,0.138136905876909,-0.5999748600891015,0.6754240937408368,0.8374527241952776,0.010632500271760624
area,osm,summary_mlp,viasm,0.34356186459047866,0.045273631753425955,0.5011450070108816,0.08177161756288809,-0.19422860626959712,0.3969837169669168,0.7898439850481607,0.04222783389639455
area,synthetic,deepsets,synthetic,0.0863602868942354,0.015261467932255928,0.18153533611367093,0.04061534344413594,0.6152426136640619,0.04960660977756041,0.3954711384350217,0.1069950237058113
area,synthetic,direct_full,synthetic,0.07904372464517279,0.01583805673441773,0.17643352138151597,0.03906331040122383,0.5983561010659452,0.23595108581602764,0.5491160320858313,0.10975528453861978
area,synthetic,direct_no_coordinates,synthetic,0.07112964741807257,0.00963236484973647,0.16047345166601626,0.023791608924056875,0.6897023446393359,0.05715239604173964,0.6171311550016113,0.06999031662093799
area,synthetic,direct_no_fiedler,synthetic,0.08100746050652743,0.020461944969686265,0.17217550936700837,0.047328385184740106,0.6047475993555215,0.2861861738113123,0.6159232314566927,0.0613800836883873
