seed,domain,model,group,mae,rmse,r2,spearman,analysis
11,osm,deepsets,Q4,0.15372637239226888,0.3170958734366733,0.2652259081567969,0.6752835449387261,density_quartile
11,osm,direct_full,Q1,0.0719657002146305,0.20282504454750258,0.811907383334237,0.8918378193472299,density_quartile
11,osm,direct_full,Q2,0.07646536369651331,0.22291043524847678,0.7609924860518444,0.8937672731454064,density_quartile
11,osm,direct_full,Q3,0.036640823188159255,0.09151376668639108,0.9601102480981556,0.9132826190728099,density_quartile
11,osm,direct_full,Q4,0.20386274638465765,0.4052295800846018,-0.9663283028930787,0.6839645886045637,density_quartile
11,osm,direct_no_coordinates,Q1,0.0740581668367617,0.20830640164043113,0.7938287293863576,0.8642939758930506,density_quartile
11,osm,direct_no_coordinates,Q2,0.07223131751255855,0.20964049703597543,0.7842996500577333,0.9371767440792997,density_quartile
11,osm,direct_no_coordinates,Q3,0.035629681950313664,0.09007158038391952,0.9613576047279221,0.9204077953531717,density_quartile
11,osm,direct_no_coordinates,Q4,0.2119685961154547,0.4189185084091049,-1.101419937447206,0.691750449989736,density_quartile
11,osm,direct_no_fiedler,Q1,0.07130743513855968,0.20106604870220313,0.8151556948956193,0.8952482079809665,density_quartile
11,osm,direct_no_fiedler,Q2,0.06606832546092206,0.20505951318554297,0.7977397224416944,0.9273279058050191,density_quartile
11,osm,direct_no_fiedler,Q3,0.032839411896961296,0.08449265483685361,0.965996283604641,0.9227293162843337,density_quartile
11,osm,direct_no_fiedler,Q4,0.2027060103497577,0.4025715862978404,-0.940617704261866,0.6899333315091005,density_quartile
11,osm,residual_full,Q1,0.05377121371420044,0.16663804092449241,0.8663493464343521,0.9003167824979472,density_quartile
11,osm,residual_full,Q2,0.07477649577628942,0.2208283204791468,0.7644143188560735,0.918243381055855,density_quartile
11,osm,residual_full,Q3,0.02704307033427419,0.07939050574888525,0.9699789685150897,0.9559226299207683,density_quartile
11,osm,residual_full,Q4,0.19340887339398333,0.38953097253870594,-0.8169281001225859,0.6644379609145941,density_quartile
11,osm,residual_no_coordinates,Q1,0.054456790644946525,0.1686256256239046,0.8631420808832395,0.896824753157396,density_quartile
11,osm,residual_no_coordinates,Q2,0.09156229726592333,0.2472834368673344,0.7031030421490715,0.8995767391640113,density_quartile
11,osm,residual_no_coordinates,Q3,0.05663716024114596,0.18241383499307098,0.8472428582342508,0.9341975000905266,density_quartile
11,osm,residual_no_coordinates,Q4,0.19926381704955012,0.3991947067706396,-0.9081973980392837,0.6613267513993454,density_quartile
11,osm,residual_no_fiedler,Q1,0.05354118766563152,0.17010792282510567,0.8607254168160736,0.9327658808862332,density_quartile
11,osm,residual_no_fiedler,Q2,0.08914520866439216,0.24924884804106592,0.7016154989841309,0.8986812480153334,density_quartile
