seed,domain,failure_mode,model,mae,rmse,r2,spearman
33,osm,independent,spectral,0.5276907611043569,0.695704265389235,-1.2794545198006921,0.4012047029494715
33,osm,spatial_cluster,spectral,0.6525148085967628,0.7839153567691219,-2.1407110451171008,0.3172037696833416
44,synthetic,independent,direct_full,0.09088079886396425,0.22216131022571076,0.4799159684798099,0.7267702922585518
44,synthetic,spatial_cluster,direct_full,0.08008460903139712,0.19462665484942107,0.7320237762549253,0.6333111148758962
44,osm,independent,direct_full,0.09520373446977737,0.2540914723435442,0.7008090339271233,0.8506135049000099
44,osm,spatial_cluster,direct_full,0.07794098002614276,0.23489067011827788,0.7262536931814538,0.8201878285268408
44,synthetic,independent,direct_no_fiedler,0.10575035287720168,0.22932327394415986,0.44584286391280226,0.7266060499453955
44,synthetic,spatial_cluster,direct_no_fiedler,0.09695294069363423,0.19844576620248297,0.7214037272383698,0.644716364174265
44,osm,independent,direct_no_fiedler,0.09639062457754735,0.25181229014366435,0.706152403957957,0.8563471575952682
44,osm,spatial_cluster,direct_no_fiedler,0.07939629968399996,0.22937776388509415,0.7389526047042358,0.8181338046650617
44,synthetic,independent,direct_no_coordinates,0.0883995714149601,0.20989344948901162,0.5357686841979217,0.7271910278050666
44,synthetic,spatial_cluster,direct_no_coordinates,0.07866623328147603,0.18901140563751342,0.7472636843722422,0.6336956034404381
44,osm,independent,direct_no_coordinates,0.0951482493825159,0.2536624988310837,0.7018184079002201,0.888498615279472
44,osm,spatial_cluster,direct_no_coordinates,0.07768191490821555,0.23446457614689145,0.7272459493355063,0.8437090632059404
44,synthetic,independent,residual_full,0.08460238265822333,0.19946171730639012,0.5807667004796526,0.8695309129054134
44,synthetic,spatial_cluster,residual_full,0.06706266785743335,0.15546733039698452,0.8290103164227041,0.7837565073803681
44,osm,independent,residual_full,0.084231784666528,0.2393524070329901,0.734512611756826,0.916032167914522
44,osm,spatial_cluster,residual_full,0.06990915699525338,0.22430821729797448,0.7503640647273407,0.9156173570332288
44,synthetic,independent,residual_no_fiedler,0.07528975597958351,0.20198725383426777,0.5700830255112003,0.8645838100045106
44,synthetic,spatial_cluster,residual_no_fiedler,0.063495061798605,0.1689138532618756,0.7981530624354096,0.7769288027702471
44,osm,independent,residual_no_fiedler,0.08565537736117158,0.24343223442527587,0.7253848660643045,0.9118065295061044
44,osm,spatial_cluster,residual_no_fiedler,0.0983834660615256,0.2461718710425255,0.6993275835147632,0.8615438468963036
44,synthetic,independent,residual_no_coordinates,0.07619139116181692,0.19661070655735735,0.59266569115793,0.869134777591782
44,synthetic,spatial_cluster,residual_no_coordinates,0.06216767093920514,0.16198368953893613,0.8143759688660376,0.7881121814490556
44,osm,independent,residual_no_coordinates,0.08624001377184529,0.2457758947452045,0.7200716603782852,0.9140745283532483
44,osm,spatial_cluster,residual_no_coordinates,0.07199297833963282,0.23200589554075163,0.7329363521161012,0.9275914831451639
44,synthetic,independent,deepsets,0.08468238296767179,0.23662610399366024,0.40998647137807587,0.3388557929528366
44,synthetic,spatial_cluster,deepsets,0.08881525308922157,0.20867919911639607,0.6919296167120934,0.6882666119659554
44,osm,independent,deepsets,0.09973524983294503,0.2577764555064933,0.6920680217920847,0.763881991029655
44,osm,spatial_cluster,deepsets,0.1379613100111323,0.2770506943740846,0.6191664326779692,0.7887013803295189
44,synthetic,independent,summary_mlp,0.08886333142914365,0.21388231735777755,0.5179562844764697,0.6615822141650702
44,synthetic,spatial_cluster,summary_mlp,0.11767096494711508,0.22044994348780658,0.656195457886152,0.6630932595887631
44,osm,independent,summary_mlp,0.20417934039604865,0.32593161345203847,0.5077097102404349,0.8198346575042506
44,osm,spatial_cluster,summary_mlp,0.22553996868011,0.3288787030821651,0.46335357910764163,0.8065983369136766
44,synthetic,independent,spectral,0.11545918160414734,0.3096554244100829,-0.010401652486507151,0.9196382633746976
44,synthetic,spatial_cluster,spectral,0.15121785278749025,0.357505282933957,0.09581654895357106,0.9278974285645556
44,osm,independent,spectral,0.5219372318436084,0.6936055397157012,-1.2294277510894305,0.34057133427036923
44,osm,spatial_cluster,spectral,0.6431713729628803,0.7800613789408969,-2.019077681782539,0.35031644796134986
55,synthetic,independent,direct_full,0.03598167125352371,0.058032252087726666,0.8984220432080012,0.7180705236930593
55,synthetic,spatial_cluster,direct_full,0.08203453459131917,0.19476627066747484,0.7294918107434633,0.5410348433730781
55,osm,independent,direct_full,0.11062638427925764,0.2785416121044523,0.6397002724979493,0.8738786942408947
55,osm,spatial_cluster,direct_full,0.19395697478968932,0.39705519225091584,0.194943621529576,0.8193752204038252
55,synthetic,independent,direct_no_fiedler,0.04226317579620078,0.05978976149873026,0.8921762913888077,0.7201818217422764
55,synthetic,spatial_cluster,direct_no_fiedler,0.09062174790321609,0.18956262859586626,0.7437532507235787,0.5413538167842595
55,osm,independent,direct_no_fiedler,0.10554319154275928,0.2704940750899837,0.6602188534168664,0.8753853725408682
55,osm,spatial_cluster,direct_no_fiedler,0.10721431282334044,0.2825431468590471,0.5923437625369219,0.8358502955541942
