area,country,nodes,edges,seed,failure_mode,model,mae,n,eigengap
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,spectral,0.5023688590657537,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,spatial_cluster,spectral_second_order,0.5023557469965386,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,direct_edge_mpnn,0.11057411172751086,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,direct_full,0.13434875759580361,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,direct_sage,0.14682383503117788,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,residual_edge_mpnn,0.0728269548000553,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,residual_full,0.08695053284663955,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,residual_sage,0.08352550318440295,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,spectral,0.08035317761165581,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,44,targeted,spectral_second_order,0.07984890619640676,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,direct_edge_mpnn,0.1023585743926279,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,direct_full,0.11117345827531955,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,direct_sage,0.16122515831974288,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,residual_edge_mpnn,0.5543932673810706,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,residual_full,0.1043207801236496,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,residual_sage,0.10254899937992028,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,spectral,0.5515990555856352,20,0.5923173656377744
bangkok,Thailand,1072.0,1457.0,55,independent,spectral_second_order,0.5515475526434798,20,0.5923173656377744
