domain,area,seed,graph_id,failure_mode,model,eigengap,mae,eigengap_bin
osm,george_town,44,1000700,independent,direct_full,0.5954596397913756,0.08696189735302287,medium
osm,george_town,44,1000700,independent,direct_sage,0.5954596397913756,0.11761846196123918,medium
osm,george_town,44,1000700,independent,residual_edge_mpnn,0.5954596397913756,0.04879669107714253,medium
osm,george_town,44,1000700,independent,residual_full,0.5954596397913756,0.05344962861171404,medium
osm,george_town,44,1000700,independent,residual_sage,0.5954596397913756,0.07508200200492102,medium
osm,george_town,44,1000700,independent,spectral,0.5954596397913756,0.4504639791638588,medium
osm,george_town,44,1000700,independent,spectral_second_order,0.5954596397913756,0.45033991141460605,medium
osm,george_town,44,1000701,spatial_cluster,direct_edge_mpnn,0.5954596397913756,0.102233037587055,high
osm,george_town,44,1000701,spatial_cluster,direct_full,0.5954596397913756,0.08272271682674531,high
osm,george_town,44,1000701,spatial_cluster,direct_sage,0.5954596397913756,0.10214856681580187,high
osm,george_town,44,1000701,spatial_cluster,residual_edge_mpnn,0.5954596397913756,0.06505813426855081,high
osm,george_town,44,1000701,spatial_cluster,residual_full,0.5954596397913756,0.061474415984204965,high
osm,george_town,44,1000701,spatial_cluster,residual_sage,0.5954596397913756,0.08987686061466577,high
osm,george_town,44,1000701,spatial_cluster,spectral,0.5954596397913756,0.6099176458265457,high
osm,george_town,44,1000701,spatial_cluster,spectral_second_order,0.5954596397913756,0.6098859662529101,high
osm,george_town,44,1000702,targeted,direct_edge_mpnn,0.5954596397913756,0.06138491899519406,high
osm,george_town,44,1000702,targeted,direct_full,0.5954596397913756,0.09319449182473061,high
osm,george_town,44,1000702,targeted,direct_sage,0.5954596397913756,0.12925566624723314,high
osm,george_town,44,1000702,targeted,residual_edge_mpnn,0.5954596397913756,0.052162567001768544,high
osm,george_town,44,1000702,targeted,residual_full,0.5954596397913756,0.07829248422489724,high
osm,george_town,44,1000702,targeted,residual_sage,0.5954596397913756,0.058563936659674576,high
osm,george_town,44,1000702,targeted,spectral,0.5954596397913756,0.17096618549282214,high
osm,george_town,44,1000702,targeted,spectral_second_order,0.5954596397913756,0.1705417032212973,high
osm,george_town,55,1000700,independent,direct_edge_mpnn,0.5954596397913756,0.05636323953744613,high
osm,george_town,55,1000700,independent,direct_full,0.5954596397913756,0.05752814283471519,high
osm,george_town,55,1000700,independent,direct_sage,0.5954596397913756,0.060407182591668905,high
osm,george_town,55,1000700,independent,residual_edge_mpnn,0.5954596397913756,0.3562636128948678,high
osm,george_town,55,1000700,independent,residual_full,0.5954596397913756,0.05608238436706856,high
osm,george_town,55,1000700,independent,residual_sage,0.5954596397913756,0.05458541025424955,high
osm,george_town,55,1000700,independent,spectral,0.5954596397913756,0.35389096313460616,high
osm,george_town,55,1000700,independent,spectral_second_order,0.5954596397913756,0.3538566835106688,high
osm,george_town,55,1000701,spatial_cluster,direct_edge_mpnn,0.5954596397913756,0.15178178655194113,high
osm,george_town,55,1000701,spatial_cluster,direct_full,0.5954596397913756,0.10526219424070785,high
osm,george_town,55,1000701,spatial_cluster,direct_sage,0.5954596397913756,0.045509775860477185,high
osm,george_town,55,1000701,spatial_cluster,residual_edge_mpnn,0.5954596397913756,0.5530425548818758,high
osm,george_town,55,1000701,spatial_cluster,residual_full,0.5954596397913756,0.0030425548818758434,high
osm,george_town,55,1000701,spatial_cluster,residual_sage,0.5954596397913756,0.002651831074371449,high
osm,george_town,55,1000701,spatial_cluster,spectral,0.5954596397913756,0.5518042458169872,high
osm,george_town,55,1000701,spatial_cluster,spectral_second_order,0.5954596397913756,0.551768290505614,high
osm,george_town,55,1000702,targeted,direct_edge_mpnn,0.5954596397913756,0.18025545271764382,high
osm,george_town,55,1000702,targeted,direct_full,0.5954596397913756,0.1949945518084606,high
osm,george_town,55,1000702,targeted,direct_sage,0.5954596397913756,0.19356103449907852,high
osm,george_town,55,1000702,targeted,residual_edge_mpnn,0.5954596397913756,0.2540111956581249,high
osm,george_town,55,1000702,targeted,residual_full,0.5954596397913756,0.19775217342411722,high
osm,george_town,55,1000702,targeted,residual_sage,0.5954596397913756,0.1927952789688725,high
osm,george_town,55,1000702,targeted,spectral,0.5954596397913756,0.24131244672955696,high
osm,george_town,55,1000702,targeted,spectral_second_order,0.5954596397913756,0.24066668126985652,high
osm,hcmus,11,1000000,independent,direct_edge_mpnn,0.2308483228937083,0.1093141921721155,low
osm,hcmus,11,1000000,independent,direct_full,0.2308483228937083,0.1054329385360386,low
osm,hcmus,11,1000000,independent,direct_sage,0.2308483228937083,0.10054156927431519,low
osm,hcmus,11,1000000,independent,residual_edge_mpnn,0.2308483228937083,0.09899573370597918,low
osm,hcmus,11,1000000,independent,residual_full,0.2308483228937083,0.09861966136157965,low
osm,hcmus,11,1000000,independent,residual_sage,0.2308483228937083,0.09913500921217781,low
osm,hcmus,11,1000000,independent,spectral,0.2308483228937083,0.39654619186833856,low
osm,hcmus,11,1000000,independent,spectral_second_order,0.2308483228937083,0.39380405678436176,low
osm,hcmus,11,1000001,spatial_cluster,direct_edge_mpnn,0.2308483228937083,0.126987745612764,low
osm,hcmus,11,1000001,spatial_cluster,direct_full,0.2308483228937083,0.10339850075533352,low
osm,hcmus,11,1000001,spatial_cluster,direct_sage,0.2308483228937083,0.11144733913233243,low
osm,hcmus,11,1000001,spatial_cluster,residual_edge_mpnn,0.2308483228937083,0.11179446477596403,low
osm,hcmus,11,1000001,spatial_cluster,residual_full,0.2308483228937083,0.11427827138576278,low
osm,hcmus,11,1000001,spatial_cluster,residual_sage,0.2308483228937083,0.11187481285956322,low
osm,hcmus,11,1000001,spatial_cluster,spectral,0.2308483228937083,0.6731793566776599,low
osm,hcmus,11,1000001,spatial_cluster,spectral_second_order,0.2308483228937083,0.6687670953298275,low
osm,hcmus,11,1000002,targeted,direct_edge_mpnn,0.2308483228937083,0.3389592152413311,low
osm,hcmus,11,1000002,targeted,direct_full,0.2308483228937083,0.2706009861013307,low
osm,hcmus,11,1000002,targeted,direct_sage,0.2308483228937083,0.27477992203927065,low
osm,hcmus,11,1000002,targeted,residual_edge_mpnn,0.2308483228937083,0.30063708097782044,low
osm,hcmus,11,1000002,targeted,residual_full,0.2308483228937083,0.28250548694890565,low
osm,hcmus,11,1000002,targeted,residual_sage,0.2308483228937083,0.29082758631714745,low
osm,hcmus,11,1000002,targeted,spectral,0.2308483228937083,0.5518586231641918,low
osm,hcmus,11,1000002,targeted,spectral_second_order,0.2308483228937083,0.5412399083921854,low
osm,hcmus,22,1000000,independent,direct_edge_mpnn,0.2308483228937083,0.1351007932063501,low
osm,hcmus,22,1000000,independent,direct_full,0.2308483228937083,0.12968647202333464,low
osm,hcmus,22,1000000,independent,direct_sage,0.2308483228937083,0.15121339170118822,low
osm,hcmus,22,1000000,independent,residual_edge_mpnn,0.2308483228937083,0.11699924676205879,low
osm,hcmus,22,1000000,independent,residual_full,0.2308483228937083,0.12955581870112642,low
osm,hcmus,22,1000000,independent,residual_sage,0.2308483228937083,0.1367766698414083,low
osm,hcmus,22,1000000,independent,spectral,0.2308483228937083,0.5453246707474817,low
osm,hcmus,22,1000000,independent,spectral_second_order,0.2308483228937083,0.5378990943134616,low
osm,hcmus,22,1000001,spatial_cluster,direct_edge_mpnn,0.2308483228937083,0.042523515689553704,low
osm,hcmus,22,1000001,spatial_cluster,direct_full,0.2308483228937083,0.07512691515888123,low
osm,hcmus,22,1000001,spatial_cluster,direct_sage,0.2308483228937083,0.04132595706190018,low
osm,hcmus,22,1000001,spatial_cluster,residual_edge_mpnn,0.2308483228937083,0.02876032787765413,low
osm,hcmus,22,1000001,spatial_cluster,residual_full,0.2308483228937083,0.059323073272226357,low
osm,hcmus,22,1000001,spatial_cluster,residual_sage,0.2308483228937083,0.05646440797665533,low
osm,hcmus,22,1000001,spatial_cluster,spectral,0.2308483228937083,0.6945182488958772,low
osm,hcmus,22,1000001,spatial_cluster,spectral_second_order,0.2308483228937083,0.6872931670307042,low
osm,hcmus,22,1000002,targeted,direct_edge_mpnn,0.2308483228937083,0.15193676729876351,low
osm,hcmus,22,1000002,targeted,direct_full,0.2308483228937083,0.2126660141339464,low
osm,hcmus,22,1000002,targeted,direct_sage,0.2308483228937083,0.20511261906381076,low
osm,hcmus,22,1000002,targeted,residual_edge_mpnn,0.2308483228937083,0.126692289421561,low
osm,hcmus,22,1000002,targeted,residual_full,0.2308483228937083,0.20200531306860312,low
osm,hcmus,22,1000002,targeted,residual_sage,0.2308483228937083,0.1833432850619809,low
osm,hcmus,22,1000002,targeted,spectral,0.2308483228937083,0.39510197680616754,low
osm,hcmus,22,1000002,targeted,spectral_second_order,0.2308483228937083,0.3841623581493442,low
osm,hcmus,33,1000000,independent,direct_edge_mpnn,0.2308483228937083,0.7091418602746463,low
osm,hcmus,33,1000000,independent,direct_full,0.2308483228937083,0.19595722494877682,low
osm,hcmus,33,1000000,independent,direct_sage,0.2308483228937083,0.19059001585949797,low
osm,hcmus,33,1000000,independent,residual_edge_mpnn,0.2308483228937083,0.21594465700554144,low
osm,hcmus,33,1000000,independent,residual_full,0.2308483228937083,0.1784734937121383,low
osm,hcmus,33,1000000,independent,residual_sage,0.2308483228937083,0.1759223743938477,low
osm,hcmus,33,1000000,independent,spectral,0.2308483228937083,0.6731769911352057,low
osm,hcmus,33,1000000,independent,spectral_second_order,0.2308483228937083,0.6615907884227268,low
osm,hcmus,33,1000001,spatial_cluster,direct_edge_mpnn,0.2308483228937083,0.7359145018682474,low
osm,hcmus,33,1000001,spatial_cluster,direct_full,0.2308483228937083,0.05817135134934933,low
osm,hcmus,33,1000001,spatial_cluster,direct_sage,0.2308483228937083,0.03321516504734309,low
osm,hcmus,33,1000001,spatial_cluster,residual_edge_mpnn,0.2308483228937083,0.15542636411487612,low
osm,hcmus,33,1000001,spatial_cluster,residual_full,0.2308483228937083,0.03424375939095696,low
osm,hcmus,33,1000001,spatial_cluster,residual_sage,0.2308483228937083,0.032916962101492295,low
osm,hcmus,33,1000001,spatial_cluster,spectral,0.2308483228937083,0.7276282003220623,low
osm,hcmus,33,1000001,spatial_cluster,spectral_second_order,0.2308483228937083,0.7244674505236204,low
osm,hcmus,33,1000002,targeted,direct_edge_mpnn,0.2308483228937083,0.4104226386786582,low
osm,hcmus,33,1000002,targeted,direct_full,0.2308483228937083,0.27489232782889833,low
osm,hcmus,33,1000002,targeted,direct_sage,0.2308483228937083,0.24324786037822,low
osm,hcmus,33,1000002,targeted,residual_edge_mpnn,0.2308483228937083,0.2788025501053337,low
osm,hcmus,33,1000002,targeted,residual_full,0.2308483228937083,0.2632379285206231,low
osm,hcmus,33,1000002,targeted,residual_sage,0.2308483228937083,0.25515218677362295,low
osm,hcmus,33,1000002,targeted,spectral,0.2308483228937083,0.36937289598739814,low
osm,hcmus,33,1000002,targeted,spectral_second_order,0.2308483228937083,0.35595190782327385,low
osm,hcmus,44,1000000,independent,direct_edge_mpnn,0.2308483228937083,0.11301650501750515,low
osm,hcmus,44,1000000,independent,direct_full,0.2308483228937083,0.10502054341100261,low
osm,hcmus,44,1000000,independent,direct_sage,0.2308483228937083,0.10571894165091325,low
osm,hcmus,44,1000000,independent,residual_edge_mpnn,0.2308483228937083,0.09777221655435966,low
osm,hcmus,44,1000000,independent,residual_full,0.2308483228937083,0.10936341089779204,low
osm,hcmus,44,1000000,independent,residual_sage,0.2308483228937083,0.09751437151767421,low
osm,hcmus,44,1000000,independent,spectral,0.2308483228937083,0.754212587403907,low
osm,hcmus,44,1000000,independent,spectral_second_order,0.2308483228937083,0.7501800486296659,low
osm,hcmus,44,1000001,spatial_cluster,direct_edge_mpnn,0.2308483228937083,0.06648526367668081,low
osm,hcmus,44,1000001,spatial_cluster,direct_full,0.2308483228937083,0.07339910575125387,low
osm,hcmus,44,1000001,spatial_cluster,direct_sage,0.2308483228937083,0.09103593387577705,low
osm,hcmus,44,1000001,spatial_cluster,residual_edge_mpnn,0.2308483228937083,0.05798680738271648,low
osm,hcmus,44,1000001,spatial_cluster,residual_full,0.2308483228937083,0.07153223511940689,low
osm,hcmus,44,1000001,spatial_cluster,residual_sage,0.2308483228937083,0.07810415447626283,low
osm,hcmus,44,1000001,spatial_cluster,spectral,0.2308483228937083,0.6653579522680095,low
